date,closedPnL,volume,classification,value,leverage,leverage_delta,pnl_next,sentiment_flag
2024-05-21,7289.397571999999,1100948.59,Extreme Greed,76.0,0.019689815142932485,0.019007978410671544,0.0,1.0
2024-05-22,0.0,44995.29,Extreme Greed,76.0,0.0008047122936424535,-0.01888510284929003,413.347329,1.0
2024-05-23,413.347329,401850.6,Extreme Greed,76.0,0.007186859337138863,0.00638214704349641,821.949278,1.0
2024-05-24,821.949278,50811.899999999994,Greed,74.0,0.0009087389377035203,-0.006278120399435343,14.126038999999999,1.0
2024-05-25,14.126038999999999,29991.129999999997,Extreme Greed,76.0,0.000536371728991343,-0.0003723672087121773,778.6839,1.0
2024-05-26,778.6839,53976.67,Extreme Greed,75.0,0.0009653389852097383,0.0004289672562183953,1129.35587,1.0
2024-05-27,1129.35587,151115.72,Greed,74.0,0.002702613682805103,0.0017372746975953645,277.791953,1.0
2024-05-29,277.791953,84268.76,Greed,72.0,0.0015070951738309112,-0.0011955185089741916,20.951433,1.0
2024-05-30,20.951433,2838.09,Greed,73.0,5.0755600824608555e-05,-0.0014563395730063026,25.35812,1.0
2024-05-31,25.35812,3636.14,Greed,73.0,6.502825504982467e-05,1.4272654225216117e-05,91.510419,1.0
2024-06-01,91.510419,12834.62,Greed,72.0,0.00022953765225246364,0.00016450939720263896,192.906947,1.0
2024-06-02,192.906947,29464.51,Greed,73.0,0.0005269534404529264,0.0002974157882004628,562.808208,1.0
2024-06-03,562.808208,21466.86,Greed,73.0,0.0003839201805515422,-0.00014303325990138425,52.211438,1.0
2024-06-04,52.211438,24243.41,Greed,73.0,0.00043357714200636813,4.965696145482594e-05,56.055506,1.0
2024-06-05,56.055506,25350.77,Extreme Greed,75.0,0.00045338162340832956,1.9804481401961428e-05,274.173187,1.0
2024-06-06,274.173187,137557.76,Extreme Greed,78.0,0.002460137553390516,0.0020067559299821866,8902.467416,1.0
2024-06-07,8902.467416,1098588.76,Extreme Greed,77.0,0.019647610973243503,0.017187473419852987,129.13883900000002,1.0
2024-06-08,129.13883900000002,97351.88,Greed,72.0,0.0017410790695103922,-0.01790653190373311,0.0,1.0
2024-06-09,0.0,22410.22,Extreme Greed,75.0,0.00040079161854402373,-0.0013402874509663685,31.266804999999998,1.0
2024-06-10,31.266804999999998,46587.93,Greed,72.0,0.0008331957220307102,0.00043240410348668645,4320.631811,1.0
2024-06-11,4320.631811,373279.92,Greed,74.0,0.00667588955251472,0.005842693830484009,-21886.531493,1.0
2024-06-12,-21886.531493,193407.96,Greed,72.0,0.0034589854864889,-0.00321690406602582,6632.757115,1.0
2024-06-13,6632.757115,132577.22,Greed,70.0,0.0023710635288621555,-0.0010879219576267443,10258.592609,1.0
2024-06-14,10258.592609,139868.66,Greed,74.0,0.0025014666388476323,0.00013040310998547675,3369.958346,1.0
2024-06-15,3369.958346,718350.25,Greed,74.0,0.012847269169670565,0.010345802530822934,0.0,1.0
2024-06-16,0.0,25235.079999999998,Greed,71.0,0.00045131257589587384,-0.012395956593774692,10599.502375,1.0
2024-06-17,10599.502375,368380.12,Greed,71.0,0.006588259515333198,0.006136946939437324,282.57636,1.0
2024-06-18,282.57636,263314.79,Greed,74.0,0.004709227968251904,-0.001879031547081294,4887.656944,1.0
2024-06-19,4887.656944,417071.12,Greed,64.0,0.007459069372961164,0.0027498414047092603,57478.456026,1.0
2024-06-20,57478.456026,207990.8,Greed,60.0,0.0037197909910834125,-0.0037392783818777516,773.5582039999999,1.0
2024-06-21,773.5582039999999,176264.49,Greed,63.0,0.003152384622469896,-0.0005674063686135163,756.876565,1.0
2024-06-22,756.876565,169594.27000000002,Neutral,53.0,0.0030330916663065975,-0.00011929295616329872,0.0,0.0
2024-06-23,0.0,1792.12,Greed,55.0,3.2049043415988406e-05,-0.003001042622890609,0.0,1.0
2024-06-24,0.0,403002.8,Neutral,51.0,0.007207465755531563,0.007175416712115574,4869.353105,0.0
2024-06-25,4869.353105,103099.08,Fear,30.0,0.0018438643566016297,-0.005363601398929933,4197.732182,0.0
2024-06-26,4197.732182,365190.66000000003,Neutral,46.0,0.006531217901718565,0.004687353545116935,0.0,0.0
2024-06-27,0.0,130486.95,Fear,40.0,0.002333680281011341,-0.004197537620707225,6150.326145,0.0
2024-06-29,6150.326145,280095.11,Fear,30.0,0.005009334108404123,0.0026756538273927824,0.0,0.0
2024-06-30,0.0,30520.69,Neutral,47.0,0.0005458425976981977,-0.0044634915107059255,5065.839308,0.0
2024-07-01,5065.839308,362670.14999999997,Neutral,53.0,0.006486140064864734,0.005940297467166536,2421.253116,0.0
